Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2005-07-15,1131.26,1131.26,1117.12,1128.19,331487,0.0,0
2005-07-18,1123.88,1134.33,1117.12,1124.8,821749,0.0,0
2005-07-19,1127.57,1130.64,1090.68,1121.73,1462213,0.0,0
2005-07-20,1111.59,1115.89,1066.7,1086.07,46141548,0.0,0
2005-07-21,1097.14,1097.14,1067.93,1077.77,14242862,0.0,0
2005-07-22,1074.7,1078.39,1057.48,1074.7,11455477,0.0,0
2005-07-25,1084.53,1091.91,1077.77,1080.23,15666653,0.0,0
2005-07-26,1075.93,1083.3,1067.32,1073.47,6868202,0.0,0
2005-07-27,1074.7,1075.93,1061.79,1066.09,9112746,0.0,0
2005-07-28,1055.64,1060.56,1045.8,1050.1,16144159,0.0,0
2005-07-29,1056.87,1084.53,1055.64,1074.08,15992763,0.0,0
2005-08-01,1073.47,1094.37,1073.47,1092.53,7935728,0.0,0
2005-08-02,1096.21,1111.59,1094.99,1105.44,10828386,0.0,0
2005-08-03,1096.83,1113.43,1088.84,1106.67,7039541,15.89,0
2005-08-04,1101.75,1102.36,1091.11,1100.52,9389063,0.0,0
2005-08-05,1096.83,1101.13,1093.14,1097.44,6726773,0.0,0
2005-08-08,1103.59,1106.67,1098.06,1104.21,3485511,0.0,0
2005-08-09,1105.44,1132.49,1105.44,1130.03,11572704,0.0,0
2005-08-10,1142.33,1148.47,1128.8,1146.02,9541332,0.0,0
2005-08-11,1154.62,1164.46,1146.63,1152.16,8568585,0.0,0
2005-08-12,1152.78,1152.78,1139.25,1142.33,6261280,0.0,0
2005-08-15,1139.87,1144.17,1135.56,1140.48,4364231,0.0,0
2005-08-16,1138.02,1142.39,1119.58,1120.81,4227817,0.0,0
2005-08-17,1117.73,1119.58,1107.9,1112.81,11407547,0.0,0
2005-08-18,1101.13,1109.13,1084.53,1084.53,9842513,0.0,0
2005-08-19,1090.68,1102.36,1084.53,1099.29,3563485,0.0,0
2005-08-22,1106.67,1106.67,1097.44,1100.52,2132255,0.0,0
2005-08-23,1096.83,1098.06,1089.45,1090.07,7815799,0.0,0
2005-08-24,1086.99,1094.99,1080.84,1085.15,4103929,0.0,0
2005-08-25,1087.61,1093.14,1083.3,1083.3,6873657,0.0,0
2005-08-26,1085.76,1101.07,1080.84,1084.53,2376708,0.0,0
2005-08-29,1121.42,1121.42,1121.42,1121.42,0,0.0,0
2005-08-30,1079.61,1093.76,1078.39,1092.53,4477850,0.0,0
2005-08-31,1097.44,1116.5,1093.76,1112.81,6868016,0.0,0
2005-09-01,1112.81,1127.57,1112.81,1120.81,4922689,0.0,0
2005-09-02,1122.65,1123.27,1109.06,1110.97,5613957,0.0,0
2005-09-05,1103.59,1116.5,1098.67,1114.66,2925817,0.0,0
2005-09-06,1111.59,1115.89,1104.82,1109.13,3293895,0.0,0
2005-09-07,1112.81,1112.81,1088.1,1091.91,3267027,0.0,0
2005-09-08,1090.68,1090.68,1074.7,1077.16,5545992,0.0,0
2005-09-09,1077.77,1087.61,1077.77,1085.15,3490212,0.0,0
2005-09-12,1085.15,1087.61,1079.61,1082.69,3808591,0.0,0
2005-09-13,1082.69,1083.92,1067.32,1075.31,6196702,0.0,0
2005-09-14,1069.78,1078.38,1069.16,1077.77,8946586,0.0,0
2005-09-15,1084.53,1117.55,1081.46,1108.51,9546894,0.0,0
2005-09-16,1106.05,1121.42,1098.86,1117.73,14061445,0.0,0
2005-09-19,1111.59,1134.33,1107.9,1131.26,4016250,0.0,0
2005-09-20,1134.33,1144.79,1126.34,1130.03,5648520,0.0,0
2005-09-21,1122.65,1141.1,1122.65,1128.8,7534317,0.0,0
2005-09-22,1129.41,1146.01,1123.27,1139.25,6793732,0.0,0
2005-09-23,1134.95,1139.25,1121.42,1125.73,3565662,0.0,0
2005-09-26,1120.81,1134.33,1112.2,1125.11,8021057,0.0,0
2005-09-27,1139.25,1146.63,1127.57,1127.57,8428912,0.0,0
2005-09-28,1132.49,1143.56,1127.57,1142.94,6126122,0.0,0
2005-09-29,1146.01,1158.31,1143.56,1150.93,5122774,0.0,0
2005-09-30,1152.78,1156.47,1144.79,1152.78,6971895,0.0,0
2005-10-03,1150.93,1156.47,1146.01,1152.78,3629396,0.0,0
2005-10-04,1149.09,1150.32,1123.88,1127.57,5437524,0.0,0
2005-10-05,1112.2,1119.58,1110.97,1112.2,6893925,0.0,0
2005-10-06,1098.67,1101.13,1087.79,1095.6,5431755,0.0,0
2005-10-07,1091.3,1109.13,1090.07,1100.52,4456713,0.0,0
2005-10-10,1106.67,1109.74,1094.37,1096.21,4769656,0.0,0
2005-10-11,1097.44,1102.98,1090.68,1095.6,4697027,0.0,0
2005-10-12,1099.29,1099.29,1082.07,1082.07,4337381,0.0,0
2005-10-13,1082.69,1085.15,1059.94,1066.09,5702434,0.0,0
2005-10-14,1066.7,1070.39,1049.49,1058.1,5413716,0.0,0
2005-10-17,1075.93,1078.39,1066.7,1067.93,4036823,0.0,0
2005-10-18,1076.54,1081.46,1053.18,1059.94,4574687,0.0,0
2005-10-19,1038.42,1050.72,1031.04,1034.73,5586379,0.0,0
2005-10-20,1046.41,1048.87,1021.21,1029.2,8092267,0.0,0
2005-10-21,1012.6,1021.82,1003.99,1010.76,7238751,0.0,0
2005-10-24,1010.76,1029.81,1007.68,1026.74,8767291,0.0,0
2005-10-25,1031.04,1031.04,1015.06,1021.21,9017415,0.0,0
2005-10-26,1027.97,1050.41,1027.97,1039.65,10135596,0.0,0
2005-10-27,1048.26,1066.09,1029.82,1045.19,14690047,0.0,0
2005-10-28,1040.88,1062.4,1040.88,1053.79,15336375,0.0,0
2005-10-31,1063.63,1080.23,1058.1,1076.54,6752262,0.0,0
2005-11-01,1074.08,1074.08,1060.56,1069.78,10156953,0.0,0
2005-11-02,1067.32,1073.47,1049.49,1067.93,2826527,15.64,0
2005-11-03,1071.01,1083.92,1067.32,1080.23,7012576,0.0,0
2005-11-04,1083.92,1091.91,1077.77,1079.0,4049670,0.0,0
2005-11-07,1077.77,1084.53,1063.63,1075.93,5331376,0.0,0
2005-11-08,1073.47,1080.23,1066.09,1080.23,4237559,0.0,0
2005-11-09,1080.84,1086.38,1074.7,1078.39,9623707,0.0,0
2005-11-10,1080.23,1083.92,1057.36,1060.56,9201055,0.0,0
2005-11-11,1069.78,1069.78,1049.49,1058.1,4691102,0.0,0
2005-11-14,1057.48,1075.93,1055.64,1067.32,3313221,0.0,0
2005-11-15,1071.01,1082.69,1069.16,1079.0,8281236,0.0,0
2005-11-16,1075.93,1100.21,1063.63,1086.99,7861396,0.0,0
2005-11-17,1087.61,1107.9,1086.99,1099.29,4620201,0.0,0
2005-11-18,1101.13,1117.79,1099.29,1115.27,9535202,0.0,0
2005-11-21,1123.27,1132.49,1118.35,1122.65,6717378,0.0,0
2005-11-22,1128.8,1137.41,1122.65,1136.79,4896291,0.0,0
2005-11-23,1138.64,1142.33,1126.34,1134.95,3911707,0.0,0
2005-11-24,1137.41,1137.53,1120.19,1124.5,2998648,0.0,0
2005-11-25,1124.5,1130.64,1123.27,1127.57,3757565,0.0,0
2005-11-28,1133.1,1134.95,1110.97,1110.97,3470266,0.0,0
2005-11-29,1107.9,1123.88,1098.06,1112.81,10182401,0.0,0
2005-11-30,1112.2,1112.2,1092.53,1098.06,14178148,0.0,0
2005-12-01,1098.67,1109.13,1098.06,1103.59,10041400,0.0,0
2005-12-02,1112.2,1117.73,1107.28,1117.12,7787952,0.0,0
2005-12-05,1118.96,1122.04,1112.2,1120.81,5894412,0.0,0
2005-12-06,1118.96,1126.34,1114.04,1122.65,7888861,0.0,0
2005-12-07,1123.27,1128.19,1105.44,1110.36,6546116,0.0,0
2005-12-08,1104.21,1128.19,1102.36,1128.19,6170399,0.0,0
2005-12-09,1126.34,1128.19,1106.05,1112.2,7591207,0.0,0
2005-12-12,1109.74,1114.66,1099.29,1100.52,3926934,0.0,0
2005-12-13,1104.82,1114.66,1104.82,1108.51,4665452,0.0,0
2005-12-14,1107.28,1114.66,1098.67,1102.98,4257676,0.0,0
2005-12-15,1104.21,1104.21,1083.92,1085.76,7521822,0.0,0
2005-12-16,1087.61,1099.29,1083.3,1086.38,11580654,0.0,0
2005-12-19,1079.61,1085.76,1071.01,1082.07,2472000,0.0,0
2005-12-20,1080.23,1085.76,1072.24,1074.7,5867897,0.0,0
2005-12-21,1075.31,1091.3,1075.31,1088.84,5085590,0.0,0
2005-12-22,1088.22,1097.44,1087.61,1096.21,1861827,0.0,0
2005-12-23,1095.6,1097.44,1090.07,1090.68,808196,0.0,0
2005-12-26,1142.33,1142.33,1142.33,1142.33,0,0.0,0
2005-12-27,1142.33,1142.33,1142.33,1142.33,0,0.0,0
2005-12-28,1085.76,1094.37,1078.39,1094.37,1642091,0.0,0
2005-12-29,1092.53,1101.13,1088.22,1090.68,1202473,0.0,0
2005-12-30,1090.07,1094.37,1080.84,1088.84,601417,0.0,0
2006-01-03,1097.44,1124.5,1097.44,1123.27,5516601,0.0,0
2006-01-04,1127.57,1133.72,1124.5,1124.5,3463883,0.0,0
2006-01-05,1128.19,1138.02,1122.65,1124.5,5352692,0.0,0
